gene_id	abundance
O35020	36.3
O35022	528
O35023	4.02
O35024	7.05
O35025	103
O35028	6.91
O35029	11.1
O35030	7.29
O35031	58.5
O35033	29.6
O35034	2.52
O35038	5.07
O35040	5.71
O35041	12.4
O35042	16.7
O35043	3.45
O35044	6.1
O35045	6.48
O35046	47.6
O54408	102
O68260	18.1
P00497	204
P02394	23622
P02958	91.7
P02968	18102
P03947	1.9
P03963	9.62
P04189	242
P04831	92.4
P04832	91.2
P04833	6.43
P04948	141
P04957	73.7
P04969	5620
P04990	1118
P05043	3.95
P05096	7.38
P05306	31.3
P05645	1125
P05647	1148
P05648	78.1
P05649	323
P05650	102
P05651	9.61
P05652	149
P05653	187
P05654	143
P05655	2.33
P05656	5.74
P05657	5611
P06222	17
P06224	267
P06533	294
P06534	184
P06535	14.2
P06567	32.9
P06568	8.47
P06569	2.42
P06574	52.7
P06628	424
P06629	108
P06630	4.11
P07343	845
P07372	3.19
P07373	0.482
P07600	19.9
P07601	4.52
P07784	79.3
P07788	2.19
P07789	22.2
P07790	20.7
P07819	11.6
P07860	23.6
P07868	4.58
P07869	3.84
P07870	6.54
P07908	12.8
P08064	190
P08065	1074
P08066	748
P08164	1255
P08495	363
P08750	560
P08821	9070
P08838	1040
P08874	1332
P08877	8090
P09122	32
P09124	6565
P09339	992
P0C8M5	11.3
P0CI73	315
P0CI74	755
P0CI75	23.7
P0CI76	68.9
P0CI77	8.29
P0CI78	6294
P0CI79	32.9
P0CI80	14.5
P0CW80	10.2
P0CW82	1.54
P10475	38.5
P10585	5.96
P10725	41.5
P10726	8.21
P10727	34.8
P10728	68.5
P10943	36.8
P10944	5.27
P11018	15.9
P11044	45.6
P11045	35.2
P11065	379
P11469	118
P11470	15.3
P11742	31.6
P11863	0.419
P11998	623
P12011	18.4
P12012	28.2
P12013	95.1
P12039	727
P12040	278
P12041	397
P12042	762
P12043	247
P12044	586
P12045	168
P12046	700
P12047	892
P12048	1196
P12049	1693
P12254	4.55
P12310	4.43
P12425	1850
P12464	612
P12667	150
P12669	1063
P12873	4987
P12874	4216
P12875	4312
P12877	6752
P12878	15333
