id,fluxes,equ,ec-code,kcat_MW,E
rxn05397_num3,0,11m3odACP_c + h_c + nadph_c --> 11m3hdACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05400_num2,0,11mdACP_c + h_c + malACP_c --> 13m3otdACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05401_num2,0.022952437,13m3otdACP_c + h_c + nadph_c --> 13m3htdACP_c + nadp_c,1.1.1.100,16528.20458,1.39E-06
rxn05401_num3,0,13m3otdACP_c + h_c + nadph_c --> 13m3htdACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05404_num2,0,13mtdACP_c + h_c + malACP_c --> 15m3ohdACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05405_num2,0.006209728,15m3ohdACP_c + h_c + nadph_c --> 15m3hdACP_c + nadp_c,1.1.1.100,16528.20458,3.76E-07
rxn05405_num3,0,15m3ohdACP_c + h_c + nadph_c --> 15m3hdACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05409_num2,0,h_c + isobutACP_c + malACP_c --> 4m3opACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05410_num2,0.004912203,4m3opACP_c + h_c + nadph_c --> 4m3hpAPC_c + nadp_c,1.1.1.100,16528.20458,2.97E-07
rxn05410_num3,0,4m3opACP_c + h_c + nadph_c --> 4m3hpAPC_c + nadp_c,1.1.1.100,15090.67523,0
rxn05413_num2,0,4mpACP_c + h_c + malACP_c --> 6m3ohACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05414_num2,0.004912203,6m3ohACP_c + h_c + nadph_c --> 6m3hhACP_c + nadp_c,1.1.1.100,16528.20458,2.97E-07
rxn05414_num3,0,6m3ohACP_c + h_c + nadph_c --> 6m3hhACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05417_num2,0,6mhACP_c + h_c + malACP_c --> 8m3oxACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05418_num2,0.004912203,8m3oxACP_c + h_c + nadph_c --> 8m3hnACP_c + nadp_c,1.1.1.100,16528.20458,2.97E-07
rxn05418_num3,0,8m3oxACP_c + h_c + nadph_c --> 8m3hnACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05421_num2,0,8mcACP_c + h_c + malACP_c --> 10m3ouACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05422_num2,0.004912203,10m3ouACP_c + h_c + nadph_c --> 10m3uACP_c + nadp_c,1.1.1.100,16528.20458,2.97E-07
rxn05422_num3,0,10m3ouACP_c + h_c + nadph_c --> 10m3uACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05425_num2,0,10muACP_c + h_c + malACP_c --> 12m3otACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05426_num2,0.004912203,12m3otACP_c + h_c + nadph_c --> 12mdhtACP_c + nadp_c,1.1.1.100,16528.20458,2.97E-07
rxn05426_num3,0,12m3otACP_c + h_c + nadph_c --> 12mdhtACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05429_num2,0,12mtACP_c + h_c + malACP_c --> 14m3opACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05430_num2,0.003928488,14m3opACP_c + h_c + nadph_c --> 14m3hpACP_c + nadp_c,1.1.1.100,16528.20458,2.38E-07
rxn05430_num3,0,14m3opACP_c + h_c + nadph_c --> 14m3hpACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05433_num2,0,4methex2eACP_c + h_c + nadh_c --> 4methexACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05434_num2,0,6mto2eACP_c + h_c + nadh_c --> 6moACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05435_num2,0,8mtd2eACP_c + h_c + nadh_c --> 8mdACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05436_num2,0,10mtd2eACP_c + h_c + nadh_c --> 10mdACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05437_num2,0,12methtetdec2_c + h_c + nadh_c --> cpd11515_c + nad_c,1.3.1.9,1469.424766,0
rxn05438_num2,0,14mthdeACP_c + h_c + nadh_c --> 14mhdACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05439_num2,0,5mhACP_c + h_c + nadh_c --> 3mehacp_c + nad_c,1.3.1.9,1469.424766,0
rxn05440_num2,0,7mto2eACP_c + h_c + nadh_c --> 7moACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05441_num2,0,9mtd2eACP_c + h_c + nadh_c --> 9mdACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05442_num2,0,11mtdeACP_c + h_c + nadh_c --> 11mdACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05443_num2,0,13mttd2eACP_c + h_c + nadh_c --> 13mtdACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05444_num2,0,15methexeACP_c + h_c + nadh_c --> 15mhdACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05445_num2,0,4mtpACP_c + h_c + nadh_c --> 4mpACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05446_num2,0,6mth2eACP_c + h_c + nadh_c --> 6mhACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05447_num2,0,8mtn2eACP_c + h_c + nadh_c --> 8mcACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05448_num2,0,10mtu2eACP_c + h_c + nadh_c --> 10muACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05449_num2,0,12mtt2eACP_c + h_c + nadh_c --> 12mtACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05450_num2,0,14mtp2eACP_c + h_c + nadh_c --> 14mpACP_c + nad_c,1.3.1.9,1469.424766,0
rxn05460_num2,0,h_c + hedACP_c + malACP_c --> 3oodACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05461_num2,0.002882517,3oodACP_c + h_c + nadph_c --> 3hodACP_c + nadp_c,1.1.1.100,16528.20458,1.74E-07
rxn05461_num3,0,3oodACP_c + h_c + nadph_c --> 3hodACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05464_num2,0,h_c + nadh_c + to2eACP_c --> nad_c + octACP_c,1.3.1.9,1469.424766,0
GLYCLTt2r_num2,0,glyclt_e + h_e --> glyclt_c + h_c,,345433.568,0
AKGt2r_num2,0,akg_e + h_e --> akg_c + h_c,,386885.8201,0
AKGt2r_num3,0,akg_e + h_e --> akg_c + h_c,,416256.7594,0
DALAt2r_num2,0,ala__D_e + h_e --> ala__D_c + h_c,,392930.8383,0
DALAt2r_num3,0,ala__D_e + h_e --> ala__D_c + h_c,,390028.3071,0
aso4t_num2,0,aso4_c --> aso4_e,,401617.2727,0
aso4t_num3,0,aso4_c --> aso4_e,,420490.3354,0
ASO3t_num2,0,aso3_c --> aso3_e,,401617.2727,0
ASO3t_num3,0,aso3_c --> aso3_e,,420490.3354,0
CD2abc_num2,0,atp_c + cd2_c + h2o_c --> adp_c + cd2_e + h_c + pi_c,3.6.3.5,14322.77093,0
CELBpts_num2,0,cellb_e + pep_c --> 6pgg_c + pyr_c,2.7.1.69,,
CELBpts_num3,0,cellb_e + pep_c --> 6pgg_c + pyr_c,2.7.1.69,,
CRO4t3pp_num2,0,cro4_e + h_c --> cro4_c + h_e,,1035116.969,0
CSNt2_num2,0,csn_e + h_e --> csn_c + h_c,,368607.5839,0
Cut1_num2,0,atp_c + cu2_c + h2o_c --> adp_c + cu2_e + h_c + pi_c,3.6.3.4,,
FE2abc_num2,0,atp_c + fe2_e + h2o_c --> adp_c + fe2_c + h_c + pi_c,,148895.4707,0
FEDCabc_num2,0,atp_c + 2.0 cit_e + fe3_e + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c,,652528.856,0
FORt2_num2,0,for_e + h_e --> for_c + h_c,,699152.9429,0
FRUptspp_num2,0,fru_e + pep_c --> f1p_c + pyr_c,2.7.1.69,,
GLCNt2r_num2,0,glcn_e + h_e --> glcn_c + h_c,,426498.0036,0
GLCt2_num2,1.560413884,glc__D_e + h_e --> glc__D_c + h_c,,644119.7657,2.42E-06
GLYt2r_num2,0,gly_e + h_e --> gly_c + h_c,,390028.3071,0
INSTt2_num2,0,h_e + inost_e --> h_c + inost_c,,385379.752,0
INSTt2_num3,0,h_e + inost_e --> h_c + inost_c,,396853.6194,0
Kt2r_num2,0,h_e + k_e --> h_c + k_c,,271395.3096,0
LCTSabc_num2,0,atp_c + h2o_c + lcts_e --> adp_c + h_c + lcts_c + pi_c,,544080.9507,0
L_LACt2r_num2,0,h_e + lac__L_e --> h_c + lac__L_c,,332961.1586,0
MAL_Dt2_num2,0,h_e + mal__D_e --> h_c + mal__D_c,,591483.9624,0
MAL_Dt2_num3,0,h_e + mal__D_e --> h_c + mal__D_c,,37989.44996,0
MALt2r_num2,0,h_e + mal__L_e --> h_c + mal__L_c,,386885.8201,0
MALt2r_num3,17.33103302,h_e + mal__L_e --> h_c + mal__L_c,,591483.9624,2.93E-05
MALt2r_num4,0,h_e + mal__L_e --> h_c + mal__L_c,,37989.44996,0
MGt5_num2,0,mg2_e --> mg2_c,,527700.5022,0
MGt5_num3,0,mg2_e --> mg2_c,,525774.6812,0
NO2t2r_num2,0,h_e + no2_e --> h_c + no2_c,,465872.092,0
NO3t2_num2,0,h_e + no3_e --> h_c + no3_c,,463550.1172,0
URATEtm_num2,0,h_e + urate_e --> h_c + urate_c,,443550.1277,0
RMNt_num2,0,h_e + rmn_e --> h_c + rmn_c,,544080.9507,0
DSERt2_num2,0,h_e + ser__D_e --> h_c + ser__D_c,,390028.3071,0
SO4t2_num2,0,h_e + so4_e --> h_c + so4_c,,388838.1633,0
SO4t2_num3,0,h_e + so4_e --> h_c + so4_c,,346477.3288,0
VALt2r_num2,0,h_e + val__L_e --> h_c + val__L_c,,426921.8041,0
XTSNt2_num2,0,h_e + xtsn_e --> h_c + xtsn_c,,368607.5839,0
ACOAD7_num2,0,h_c + hdd2coa_c + nadh_c --> nad_c + pmtcoa_c,1.3.99.2,535.0580462,0
ACOAD7_num3,0,h_c + hdd2coa_c + nadh_c --> nad_c + pmtcoa_c,1.3.99.2,829.5811761,0
GLXO1_num2,0,glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c,1.2.1.3,93.64554242,0
GLXO1_num3,0,glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c,1.2.1.3,99.78467458,0
GLXO1_num4,0,glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c,1.2.1.3,92.76744827,0
GLXO1_num5,0,glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c,1.2.1.3,97.604265,0
ALDD31_num2,0,aacald_c + h2o_c + nad_c --> gly_c + 2.0 h_c + nadh_c,1.2.1.3,93.64554242,0
ALDD31_num3,0,aacald_c + h2o_c + nad_c --> gly_c + 2.0 h_c + nadh_c,1.2.1.3,99.78467458,0
ALDD31_num4,0,aacald_c + h2o_c + nad_c --> gly_c + 2.0 h_c + nadh_c,1.2.1.3,92.76744827,0
ALDD31_num5,0,aacald_c + h2o_c + nad_c --> gly_c + 2.0 h_c + nadh_c,1.2.1.3,97.604265,0
FACOAL140_num2,0,atp_c + coa_c + h_c + tetdecacid_c --> amp_c + ppi_c + tdcoa_c,6.2.1.16,392.0196276,0
FACOAL140_num3,0,atp_c + coa_c + h_c + tetdecacid_c --> amp_c + ppi_c + tdcoa_c,6.2.1.16,400.078477,0
FACOAL140_num4,0,atp_c + coa_c + h_c + tetdecacid_c --> amp_c + ppi_c + tdcoa_c,6.2.1.16,43.66681781,0
MLTG1_num2,0,h2o_c + malttr_c --> glc__D_c + malt_c,3.2.1.135,1373300.296,0
NADH4_num2,0,h_c + mql7_c + nadh_c --> nad_c,1.6.99.3,1116.556691,0
NADH4_num3,0,h_c + mql7_c + nadh_c --> nad_c,1.6.99.3,1266.783252,0
ASR_num2,0,aso4_c + 2.0 gthrd_c + 2.0 h_c --> aso3_c + gthox_c + h2o_c,1.20.4.1,50.24324391,0
ASR_num3,0,aso4_c + 2.0 gthrd_c + 2.0 h_c --> aso3_c + gthox_c + h2o_c,1.20.4.1,47.81651456,0
ASR_num4,0,aso4_c + 2.0 gthrd_c + 2.0 h_c --> aso3_c + gthox_c + h2o_c,1.20.4.1,53.61475947,0
GPDDA4_num2,0,g3pg_c + h2o_c --> glyc3p_c + glyc_c,3.1.4.46,267.8885775,0
GPDDA4_num3,0,g3pg_c + h2o_c --> glyc3p_c + glyc_c,3.1.4.46,271.4201763,0
HEMEOS_num2,0,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c,2.5.1.-,,
FACOAL181_num2,0,atp_c + coa_c + h_c + ocdcea_c --> amp_c + odecoa_c + ppi_c,6.2.1.16,392.0196276,0
FACOAL181_num3,0,atp_c + coa_c + h_c + ocdcea_c --> amp_c + odecoa_c + ppi_c,6.2.1.16,400.078477,0
FACOAL181_num4,0,atp_c + coa_c + h_c + ocdcea_c --> amp_c + odecoa_c + ppi_c,6.2.1.16,43.66681781,0
FACOAL180_num2,0,atp_c + coa_c + h_c + ocdca_c --> amp_c + ppi_c + strcoa_c,6.2.1.16,392.0196276,0
FACOAL180_num3,0,atp_c + coa_c + h_c + ocdca_c --> amp_c + ppi_c + strcoa_c,6.2.1.16,400.078477,0
FACOAL180_num4,0,atp_c + coa_c + h_c + ocdca_c --> amp_c + ppi_c + strcoa_c,6.2.1.16,43.66681781,0
FACOAL161_num2,0,atp_c + coa_c + h_c + hdcea_c --> amp_c + hdcoa_c + ppi_c,6.2.1.16,392.0196276,0
FACOAL161_num3,0,atp_c + coa_c + h_c + hdcea_c --> amp_c + hdcoa_c + ppi_c,6.2.1.16,400.078477,0
FACOAL161_num4,0,atp_c + coa_c + h_c + hdcea_c --> amp_c + hdcoa_c + ppi_c,6.2.1.16,43.66681781,0
